"Mun US Noti MT","Semana 01","Semana 02","Semana 03","Semana 04","Semana 05","Semana 06","Semana 07","Semana 08","Semana 09","Semana 10","Semana 11","Semana 12","Semana 13","Semana 14","Semana 15","Semana 16","Semana 17","Semana 18","Semana 19","Semana 20","Semana 21","Semana 22","Semana 23","Semana 24","Semana 25","Semana 26","Semana 27","Semana 28","Semana 29","Semana 30","Semana 31","Semana 32","Semana 33","Semana 34","Semana 35","Semana 36","Semana 37","Semana 38","Semana 39","Semana 40","Semana 41","Semana 42","Semana 43","Semana 44","Semana 45","Semana 46","Semana 47","Semana 48","Semana 49","Semana 50","Semana 51","Semana 52","Total"
"510775 Salto do Céu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"510776 Santa Rita do Trivelato",0,0,1,0,2,0,1,0,2,0,1,1,1,0,2,0,0,1,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"510724 Santa Carmem",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,1,0,0,1,2,0,0,3,1,0,3,2,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,2,1,1,0,0,29
"510726 Santo Afonso",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5
"510777 Santa Terezinha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"510779 Santo Antônio do Leste",1,3,3,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
"510780 Santo Antônio do Leverger",0,1,0,0,0,0,1,1,0,0,1,8,25,10,20,9,23,1,0,2,2,0,0,0,0,0,0,0,0,0,2,2,0,2,1,0,0,1,4,0,2,1,0,1,0,3,0,0,1,0,2,1,127
"510785 São Félix do Araguaia",0,0,0,2,0,3,4,0,0,0,0,0,0,1,4,0,4,3,2,2,2,4,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,37
"510729 São José do Povo",5,4,3,7,7,8,5,2,5,6,6,1,7,3,4,2,2,2,5,4,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
"510730 São José do Rio Claro",0,1,0,1,1,2,0,0,0,0,0,0,0,0,2,3,1,1,0,0,2,3,1,1,3,7,1,2,1,0,1,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,39
"510735 São José do Xingu",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,26
"510710 São José dos Quatro Marcos",0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,2,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,3,1,0,0,0,0,0,3,1,9,1,0,0,1,0,0,0,0,0,31
"510740 São Pedro da Cipa",0,0,0,0,0,1,0,0,0,0,0,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,11
"510787 Sapezal",1,2,2,16,20,21,23,14,22,44,26,22,30,18,25,15,23,17,14,10,16,17,11,6,10,5,6,3,4,0,2,1,1,0,1,1,0,0,0,0,0,0,4,0,2,1,2,4,1,0,0,0,463
"510788 Serra Nova Dourada",0,1,0,0,1,0,0,1,1,4,2,1,2,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"510790 Sinop",4,5,5,16,7,5,11,12,4,3,9,6,16,11,22,22,28,21,14,28,33,20,17,17,17,8,8,6,10,13,14,9,3,4,9,3,3,1,4,4,3,2,3,3,3,4,2,1,1,1,0,2,477
"510792 Sorriso",6,16,9,4,6,3,4,0,4,2,5,2,5,20,24,12,8,9,12,10,6,8,6,10,5,1,4,6,11,11,3,1,5,3,1,2,1,0,0,1,3,2,5,7,3,1,1,1,6,10,5,6,296
"510794 Tabaporã",0,1,0,3,4,2,2,0,1,1,2,4,4,5,3,0,2,0,0,1,2,1,0,0,1,1,0,2,0,1,1,0,2,0,0,0,1,0,0,0,0,1,1,0,3,0,0,0,3,0,0,1,56
"510795 Tangará da Serra",3,13,4,0,12,14,11,7,17,15,12,23,34,30,58,96,99,93,56,37,28,34,22,21,15,26,5,12,8,10,16,11,8,5,5,3,3,8,2,1,5,7,3,16,5,22,9,31,27,40,33,10,1085
"510800 Tapurah",0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,3,1,2,11,6,5,2,1,0,2,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,46
"510805 Terra Nova do Norte",1,0,0,0,0,0,2,2,3,0,2,3,0,1,2,2,8,2,5,6,11,3,5,3,4,1,0,1,0,0,1,0,1,0,0,0,2,1,2,1,0,3,3,2,3,8,19,13,8,5,0,5,144
"510810 Tesouro",0,0,0,0,0,0,0,3,1,4,3,1,9,3,6,3,0,4,5,5,1,1,2,0,0,2,5,0,1,0,2,0,2,0,3,0,0,1,1,4,0,1,0,0,0,0,0,0,0,0,1,0,74
"510820 Torixoréu",2,1,5,11,9,0,7,2,17,8,7,7,7,5,3,2,4,0,3,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,109
"510830 União do Sul",0,4,0,1,2,1,1,0,0,3,0,0,3,3,0,3,4,8,4,0,3,1,1,0,2,0,0,0,0,0,1,0,0,0,0,1,2,0,0,2,0,2,1,1,0,0,0,0,0,0,0,1,55
"510835 Vale de São Domingos",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,13,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
"510840 Várzea Grande",3,0,1,3,4,7,10,8,6,21,24,20,28,10,13,24,77,54,49,35,39,19,20,17,19,18,14,19,4,5,5,7,7,8,6,3,3,2,6,3,2,3,3,3,6,1,1,3,3,8,1,1,656
"510850 Vera",0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,3,1,5,3,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
"510550 Vila Bela da Santíssima Trindade",0,2,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,3,1,0,1,2,1,0,0,1,1,0,25
"510860 Vila Rica",2,2,1,0,0,1,1,0,2,2,1,0,4,1,1,4,2,2,6,13,4,5,3,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,65
"510000 municipio ignorado",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Total",244,494,602,603,709,954,1072,817,985,1076,1013,1137,1384,1102,1462,1256,1437,1210,1122,1081,893,769,608,528,486,411,347,337,245,223,238,202,176,159,153,111,143,104,127,127,126,142,150,161,185,185,199,252,268,279,267,244,28605
