"Mun US Noti MT","Semana 01","Semana 02","Semana 03","Semana 04","Semana 05","Semana 06","Semana 07","Semana 08","Semana 09","Semana 10","Semana 11","Semana 12","Semana 13","Semana 14","Semana 15","Semana 16","Semana 17","Semana 18","Semana 19","Semana 20","Semana 21","Semana 22","Semana 23","Semana 24","Semana 25","Semana 26","Semana 27","Semana 28","Semana 29","Semana 30","Semana 31","Semana 32","Semana 33","Semana 34","Semana 35","Semana 36","Semana 37","Semana 38","Semana 39","Semana 40","Semana 41","Semana 42","Semana 43","Semana 44","Semana 45","Semana 46","Semana 47","Semana 48","Semana 49","Semana 50","Semana 51","Semana 52","Total"
"510624 Nova Ubiratã",0,0,3,2,3,2,0,7,5,4,6,4,3,5,17,10,10,9,2,1,12,10,12,6,17,11,4,6,6,8,6,4,0,3,2,0,1,1,1,0,1,0,0,0,1,0,2,1,0,0,1,0,209
"510625 Nova Xavantina",2,2,0,1,0,2,1,2,2,3,3,1,2,1,2,5,2,3,1,0,2,1,0,2,3,2,1,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,0,1,0,60
"510627 Novo Horizonte do Norte",0,0,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"510626 Novo Mundo",0,1,0,7,5,7,8,4,3,11,6,16,23,25,11,15,15,34,12,25,14,16,16,13,12,7,2,4,2,12,10,10,4,3,3,1,2,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,365
"510628 Novo São Joaquim",0,0,0,1,1,0,0,1,0,0,0,4,0,0,0,0,1,2,3,0,4,3,0,2,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,31
"510629 Paranaíta",8,6,7,14,1,42,47,64,42,54,38,41,41,7,25,15,5,21,15,7,27,7,4,5,6,3,10,0,7,6,1,4,2,3,1,1,0,0,0,0,2,0,0,1,0,4,4,1,0,1,2,1,603
"510630 Paranatinga",3,2,8,11,12,23,24,36,33,16,44,51,51,71,82,57,56,51,36,53,43,17,1,0,1,5,5,3,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,804
"510631 Novo Santo Antônio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"510637 Pedra Preta",0,1,2,2,6,5,2,3,1,3,1,4,3,2,1,1,4,2,6,4,1,1,1,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,66
"510642 Peixoto de Azevedo",15,21,19,38,55,27,41,31,51,21,33,26,10,10,4,13,6,8,9,5,5,10,3,1,1,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,472
