"Mun US Noti MT","Semana 01","Semana 02","Semana 03","Semana 04","Semana 05","Semana 06","Semana 07","Semana 08","Semana 09","Semana 10","Semana 11","Semana 12","Semana 13","Semana 14","Semana 15","Semana 16","Semana 17","Semana 18","Semana 19","Semana 20","Semana 21","Semana 22","Semana 23","Semana 24","Semana 25","Semana 26","Semana 27","Semana 28","Semana 29","Semana 30","Semana 31","Semana 32","Semana 33","Semana 34","Semana 35","Semana 36","Semana 37","Semana 38","Semana 39","Semana 40","Semana 41","Semana 42","Total"
"510350 Diamantino",2,6,2,17,15,12,9,17,5,3,10,16,6,4,0,3,1,1,6,3,2,0,2,2,2,0,0,0,1,0,2,1,0,1,0,0,0,0,2,0,1,0,154
"510360 Dom Aquino",0,0,0,3,0,0,1,4,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"510370 Feliz Natal",1,7,3,6,8,2,3,1,0,0,1,0,0,0,0,2,4,0,1,2,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,4,2,4,3,61
"510380 Figueirópolis d'Oeste",0,0,0,0,3,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"510385 Gaúcha do Norte",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"510390 General Carneiro",0,0,3,0,4,2,2,6,1,0,2,1,0,1,3,1,3,2,0,1,0,1,8,5,0,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,55
"510395 Glória d'Oeste",0,0,1,0,0,0,1,1,0,1,2,2,0,1,0,0,2,0,2,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,19
"510410 Guarantã do Norte",1,1,2,3,5,4,16,27,22,7,32,30,39,35,34,23,26,22,29,32,30,23,17,10,10,5,12,4,2,3,3,5,5,2,6,2,0,4,4,3,0,0,540
"510420 Guiratinga",0,0,0,1,2,5,4,8,2,0,7,1,2,9,1,1,1,0,0,1,0,0,1,1,3,2,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,57
"510450 Indiavaí",0,0,0,0,0,1,0,1,0,0,0,3,9,4,3,2,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,31
"510452 Ipiranga do Norte",0,0,0,2,1,0,1,2,4,4,1,2,1,5,2,2,3,0,3,5,6,5,7,5,3,1,3,2,4,5,4,4,1,2,5,0,2,0,1,0,0,0,98
"510454 Itanhangá",0,3,4,6,13,4,8,37,9,28,11,8,8,14,1,9,3,5,5,2,4,3,2,12,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,205
"510455 Itaúba",0,0,3,12,3,7,9,13,25,10,52,25,12,88,20,32,51,29,35,28,18,20,24,18,5,0,3,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,551
"510460 Itiquira",3,7,19,13,3,2,0,4,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,59
"510480 Jaciara",2,6,13,18,10,6,6,5,1,0,0,0,1,1,0,0,2,0,1,0,1,0,0,4,0,3,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,83
"510490 Jangada",0,1,10,10,12,12,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
"510500 Jauru",0,8,7,1,11,5,0,2,6,2,2,2,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,56
"510510 Juara",1,4,16,45,39,53,73,63,37,19,38,13,13,17,11,14,12,10,8,10,3,3,1,4,6,7,1,0,0,0,3,0,2,2,0,1,0,0,0,0,0,0,529
